StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode
str-msn2700-01,Ethernet0,str-7260-10,Ethernet1,40000,1681,Access
str-msn2700-01,Ethernet4,str-7260-10,Ethernet2,40000,1682,Access
str-msn2700-01,Ethernet8,str-7260-10,Ethernet3,40000,1683,Access
str-msn2700-01,Ethernet12,str-7260-10,Ethernet4,40000,1684,Access
str-msn2700-01,Ethernet16,str-7260-10,Ethernet5,40000,1685,Access
str-msn2700-01,Ethernet20,str-7260-10,Ethernet6,40000,1686,Access
str-msn2700-01,Ethernet24,str-7260-10,Ethernet7,40000,1687,Access
str-msn2700-01,Ethernet28,str-7260-10,Ethernet8,40000,1688,Access
str-msn2700-01,Ethernet32,str-7260-10,Ethernet9,40000,1689,Access
str-msn2700-01,Ethernet36,str-7260-10,Ethernet10,40000,1690,Access
str-msn2700-01,Ethernet40,str-7260-10,Ethernet11,40000,1691,Access
str-msn2700-01,Ethernet44,str-7260-10,Ethernet12,40000,1692,Access
str-msn2700-01,Ethernet48,str-7260-10,Ethernet13,40000,1693,Access
str-msn2700-01,Ethernet52,str-7260-10,Ethernet14,40000,1694,Access
str-msn2700-01,Ethernet56,str-7260-10,Ethernet15,40000,1695,Access
str-msn2700-01,Ethernet60,str-7260-10,Ethernet16,40000,1696,Access
str-msn2700-01,Ethernet64,str-7260-10,Ethernet17,40000,1697,Access
str-msn2700-01,Ethernet68,str-7260-10,Ethernet18,40000,1698,Access
str-msn2700-01,Ethernet72,str-7260-10,Ethernet19,40000,1699,Access
str-msn2700-01,Ethernet76,str-7260-10,Ethernet20,40000,1700,Access
str-msn2700-01,Ethernet80,str-7260-10,Ethernet21,40000,1701,Access
str-msn2700-01,Ethernet84,str-7260-10,Ethernet22,40000,1702,Access
str-msn2700-01,Ethernet88,str-7260-10,Ethernet23,40000,1703,Access
str-msn2700-01,Ethernet92,str-7260-10,Ethernet24,40000,1704,Access
str-msn2700-01,Ethernet96,str-7260-10,Ethernet25,40000,1705,Access
str-msn2700-01,Ethernet100,str-7260-10,Ethernet26,40000,1706,Access
str-msn2700-01,Ethernet104,str-7260-10,Ethernet27,40000,1707,Access
str-msn2700-01,Ethernet108,str-7260-10,Ethernet28,40000,1708,Access
str-msn2700-01,Ethernet112,str-7260-10,Ethernet29,40000,1709,Access
str-msn2700-01,Ethernet116,str-7260-10,Ethernet30,40000,1710,Access
str-msn2700-01,Ethernet120,str-7260-10,Ethernet31,40000,1711,Access
str-msn2700-01,Ethernet124,str-7260-10,Ethernet32,40000,1712,Access
str-7260-11,Ethernet19,str-acs-serv-01,p4p1,40000,,Trunk
str-7260-11,Ethernet30,str-7260-10,Ethernet64,40000,1681-1712,Trunk

arc-switch1029,Ethernet0,arc-switch1003,Ethernet1,40000,1681,Access
arc-switch1029,Ethernet1,arc-switch1003,Ethernet2,40000,1682,Access
arc-switch1029,Ethernet2,arc-switch1003,Ethernet3,40000,1683,Access
arc-switch1029,Ethernet3,arc-switch1003,Ethernet4,40000,1684,Access
arc-switch1029,Ethernet4,arc-switch1003,Ethernet5,40000,1685,Access
arc-switch1029,Ethernet5,arc-switch1003,Ethernet6,40000,1686,Access
arc-switch1029,Ethernet6,arc-switch1003,Ethernet7,40000,1687,Access
arc-switch1029,Ethernet7,arc-switch1003,Ethernet8,40000,1688,Access
arc-switch1029,Ethernet8,arc-switch1003,Ethernet9,40000,1689,Access
arc-switch1029,Ethernet9,arc-switch1003,Ethernet10,40000,1690,Access
arc-switch1029,Ethernet10,arc-switch1003,Ethernet11,40000,1691,Access
arc-switch1029,Ethernet11,arc-switch1003,Ethernet12,40000,1692,Access
arc-switch1029,Ethernet12,arc-switch1003,Ethernet13,40000,1693,Access
arc-switch1029,Ethernet13,arc-switch1003,Ethernet14,40000,1694,Access
arc-switch1029,Ethernet14,arc-switch1003,Ethernet15,40000,1695,Access
arc-switch1029,Ethernet15,arc-switch1003,Ethernet16,40000,1696,Access
arc-switch1029,Ethernet16,arc-switch1003,Ethernet17,40000,1697,Access
arc-switch1029,Ethernet17,arc-switch1003,Ethernet18,40000,1698,Access
arc-switch1029,Ethernet18,arc-switch1003,Ethernet19,40000,1699,Access
arc-switch1029,Ethernet19,arc-switch1003,Ethernet20,40000,1700,Access
arc-switch1029,Ethernet20,arc-switch1003,Ethernet21,40000,1701,Access
arc-switch1029,Ethernet21,arc-switch1003,Ethernet22,40000,1702,Access
arc-switch1029,Ethernet22,arc-switch1003,Ethernet23,40000,1703,Access
arc-switch1029,Ethernet23,arc-switch1003,Ethernet24,40000,1704,Access
arc-switch1029,Ethernet24,arc-switch1003,Ethernet25,40000,1705,Access
arc-switch1029,Ethernet25,arc-switch1003,Ethernet26,40000,1706,Access
arc-switch1029,Ethernet26,arc-switch1003,Ethernet27,40000,1707,Access
arc-switch1029,Ethernet27,arc-switch1003,Ethernet28,40000,1708,Access
arc-switch1029,Ethernet28,arc-switch1003,Ethernet29,40000,1709,Access
arc-switch1029,Ethernet29,arc-switch1003,Ethernet30,40000,1710,Access
arc-switch1029,Ethernet32,arc-switch1003,Ethernet31,40000,1711,Access
arc-switch1029,Ethernet36,arc-switch1003,Ethernet32,40000,1712,Access

arc-switch1041,Ethernet0,arc-switch1039,Ethernet1,40000,1681,Access
arc-switch1041,Ethernet4,arc-switch1039,Ethernet2,40000,1682,Access
arc-switch1041,Ethernet8,arc-switch1039,Ethernet3,40000,1683,Access
arc-switch1041,Ethernet12,arc-switch1039,Ethernet4,40000,1684,Access
arc-switch1041,Ethernet16,arc-switch1039,Ethernet5,40000,1685,Access
arc-switch1041,Ethernet20,arc-switch1039,Ethernet6,40000,1686,Access
arc-switch1041,Ethernet24,arc-switch1039,Ethernet7,40000,1687,Access
arc-switch1041,Ethernet28,arc-switch1039,Ethernet8,40000,1688,Access
arc-switch1041,Ethernet32,arc-switch1039,Ethernet9,40000,1689,Access
arc-switch1041,Ethernet36,arc-switch1039,Ethernet10,40000,1690,Access
arc-switch1041,Ethernet40,arc-switch1039,Ethernet11,40000,1691,Access
arc-switch1041,Ethernet44,arc-switch1039,Ethernet12,40000,1692,Access
arc-switch1041,Ethernet48,arc-switch1039,Ethernet13,40000,1693,Access
arc-switch1041,Ethernet52,arc-switch1039,Ethernet14,40000,1694,Access
arc-switch1041,Ethernet56,arc-switch1039,Ethernet15,40000,1695,Access
arc-switch1041,Ethernet60,arc-switch1039,Ethernet16,40000,1696,Access
arc-switch1041,Ethernet64,arc-switch1039,Ethernet17,40000,1697,Access
arc-switch1041,Ethernet68,arc-switch1039,Ethernet18,40000,1698,Access
arc-switch1041,Ethernet72,arc-switch1039,Ethernet19,40000,1699,Access
arc-switch1041,Ethernet76,arc-switch1039,Ethernet20,40000,1700,Access
arc-switch1041,Ethernet80,arc-switch1039,Ethernet21,40000,1701,Access
arc-switch1041,Ethernet84,arc-switch1039,Ethernet22,40000,1702,Access
arc-switch1041,Ethernet88,arc-switch1039,Ethernet23,40000,1703,Access
arc-switch1041,Ethernet92,arc-switch1039,Ethernet24,40000,1704,Access
arc-switch1041,Ethernet96,arc-switch1039,Ethernet25,40000,1705,Access
arc-switch1041,Ethernet100,arc-switch1039,Ethernet26,40000,1706,Access
arc-switch1041,Ethernet104,arc-switch1039,Ethernet27,40000,1707,Access
arc-switch1041,Ethernet108,arc-switch1039,Ethernet28,40000,1708,Access
arc-switch1041,Ethernet112,arc-switch1039,Ethernet29,40000,1709,Access
arc-switch1041,Ethernet116,arc-switch1039,Ethernet30,40000,1710,Access
arc-switch1041,Ethernet120,arc-switch1039,Ethernet31,40000,1711,Access
arc-switch1041,Ethernet124,arc-switch1039,Ethernet32,40000,1712,Access

arc-switch1038,Ethernet0,arc-switch1007,Ethernet1,40000,1681,Access
arc-switch1038,Ethernet4,arc-switch1007,Ethernet2,40000,1682,Access
arc-switch1038,Ethernet8,arc-switch1007,Ethernet3,40000,1683,Access
arc-switch1038,Ethernet12,arc-switch1007,Ethernet4,40000,1684,Access
arc-switch1038,Ethernet16,arc-switch1007,Ethernet5,40000,1685,Access
arc-switch1038,Ethernet20,arc-switch1007,Ethernet6,40000,1686,Access
arc-switch1038,Ethernet24,arc-switch1007,Ethernet7,40000,1687,Access
arc-switch1038,Ethernet28,arc-switch1007,Ethernet8,40000,1688,Access
arc-switch1038,Ethernet32,arc-switch1007,Ethernet9,40000,1689,Access
arc-switch1038,Ethernet36,arc-switch1007,Ethernet10,40000,1690,Access
arc-switch1038,Ethernet40,arc-switch1007,Ethernet11,40000,1691,Access
arc-switch1038,Ethernet44,arc-switch1007,Ethernet12,40000,1692,Access
arc-switch1038,Ethernet48,arc-switch1007,Ethernet13,40000,1693,Access
arc-switch1038,Ethernet52,arc-switch1007,Ethernet14,40000,1694,Access
arc-switch1038,Ethernet56,arc-switch1007,Ethernet15,40000,1695,Access
arc-switch1038,Ethernet60,arc-switch1007,Ethernet16,40000,1696,Access
arc-switch1038,Ethernet64,arc-switch1007,Ethernet17,40000,1697,Access
arc-switch1038,Ethernet68,arc-switch1007,Ethernet18,40000,1698,Access
arc-switch1038,Ethernet72,arc-switch1007,Ethernet19,40000,1699,Access
arc-switch1038,Ethernet76,arc-switch1007,Ethernet20,40000,1700,Access
arc-switch1038,Ethernet80,arc-switch1007,Ethernet21,40000,1701,Access
arc-switch1038,Ethernet84,arc-switch1007,Ethernet22,40000,1702,Access
arc-switch1038,Ethernet88,arc-switch1007,Ethernet23,40000,1703,Access
arc-switch1038,Ethernet92,arc-switch1007,Ethernet24,40000,1704,Access
arc-switch1038,Ethernet96,arc-switch1007,Ethernet25,40000,1705,Access
arc-switch1038,Ethernet100,arc-switch1007,Ethernet26,40000,1706,Access
arc-switch1038,Ethernet104,arc-switch1007,Ethernet27,40000,1707,Access
arc-switch1038,Ethernet108,arc-switch1007,Ethernet28,40000,1708,Access
arc-switch1038,Ethernet112,arc-switch1007,Ethernet29,40000,1709,Access
arc-switch1038,Ethernet116,arc-switch1007,Ethernet30,40000,1710,Access
arc-switch1038,Ethernet120,arc-switch1007,Ethernet31,10000,1711,Access
arc-switch1038,Ethernet124,arc-switch1007,Ethernet32,10000,1712,Access

arc-switch1025,Ethernet0,arc-switch1035,Ethernet1,40000,1681,Access
arc-switch1025,Ethernet4,arc-switch1035,Ethernet2,40000,1682,Access
arc-switch1025,Ethernet8,arc-switch1035,Ethernet3,40000,1683,Access
arc-switch1025,Ethernet12,arc-switch1035,Ethernet4,40000,1684,Access
arc-switch1025,Ethernet16,arc-switch1035,Ethernet5,40000,1685,Access
arc-switch1025,Ethernet20,arc-switch1035,Ethernet6,40000,1686,Access
arc-switch1025,Ethernet24,arc-switch1035,Ethernet7,40000,1687,Access
arc-switch1025,Ethernet28,arc-switch1035,Ethernet8,40000,1688,Access
arc-switch1025,Ethernet32,arc-switch1035,Ethernet9,40000,1689,Access
arc-switch1025,Ethernet36,arc-switch1035,Ethernet10,40000,1690,Access
arc-switch1025,Ethernet40,arc-switch1035,Ethernet11,40000,1691,Access
arc-switch1025,Ethernet44,arc-switch1035,Ethernet12,40000,1692,Access
arc-switch1025,Ethernet48,arc-switch1035,Ethernet13,40000,1693,Access
arc-switch1025,Ethernet52,arc-switch1035,Ethernet14,40000,1694,Access
arc-switch1025,Ethernet56,arc-switch1035,Ethernet15,40000,1695,Access
arc-switch1025,Ethernet60,arc-switch1035,Ethernet16,40000,1696,Access
arc-switch1025,Ethernet64,arc-switch1035,Ethernet17,40000,1697,Access
arc-switch1025,Ethernet68,arc-switch1035,Ethernet18,40000,1698,Access
arc-switch1025,Ethernet72,arc-switch1035,Ethernet19,40000,1699,Access
arc-switch1025,Ethernet76,arc-switch1035,Ethernet20,40000,1700,Access
arc-switch1025,Ethernet80,arc-switch1035,Ethernet21,40000,1701,Access
arc-switch1025,Ethernet84,arc-switch1035,Ethernet22,40000,1702,Access
arc-switch1025,Ethernet88,arc-switch1035,Ethernet23,40000,1703,Access
arc-switch1025,Ethernet92,arc-switch1035,Ethernet24,40000,1704,Access
arc-switch1025,Ethernet96,arc-switch1035,Ethernet25,40000,1705,Access
arc-switch1025,Ethernet100,arc-switch1035,Ethernet26,40000,1706,Access
arc-switch1025,Ethernet104,arc-switch1035,Ethernet27,40000,1707,Access
arc-switch1025,Ethernet108,arc-switch1035,Ethernet28,40000,1708,Access
arc-switch1025,Ethernet112,arc-switch1035,Ethernet29,40000,1709,Access
arc-switch1025,Ethernet116,arc-switch1035,Ethernet30,40000,1710,Access
arc-switch1025,Ethernet120,arc-switch1035,Ethernet31,40000,1711,Access
arc-switch1025,Ethernet124,arc-switch1035,Ethernet32,40000,1712,Access

arc-switch1004,Ethernet0,arc-switch1005,Ethernet1,40000,1681,Access
arc-switch1004,Ethernet4,arc-switch1005,Ethernet2,40000,1682,Access
arc-switch1004,Ethernet8,arc-switch1005,Ethernet3,40000,1683,Access
arc-switch1004,Ethernet12,arc-switch1005,Ethernet4,40000,1684,Access
arc-switch1004,Ethernet16,arc-switch1005,Ethernet5,40000,1685,Access
arc-switch1004,Ethernet20,arc-switch1005,Ethernet6,40000,1686,Access
arc-switch1004,Ethernet24,arc-switch1005,Ethernet7,40000,1687,Access
arc-switch1004,Ethernet28,arc-switch1005,Ethernet8,40000,1688,Access
arc-switch1004,Ethernet32,arc-switch1005,Ethernet9,40000,1689,Access
arc-switch1004,Ethernet36,arc-switch1005,Ethernet10,40000,1690,Access
arc-switch1004,Ethernet40,arc-switch1005,Ethernet11,40000,1691,Access
arc-switch1004,Ethernet44,arc-switch1005,Ethernet12,40000,1692,Access
arc-switch1004,Ethernet48,arc-switch1005,Ethernet13,40000,1693,Access
arc-switch1004,Ethernet52,arc-switch1005,Ethernet14,40000,1694,Access
arc-switch1004,Ethernet56,arc-switch1005,Ethernet15,40000,1695,Access
arc-switch1004,Ethernet60,arc-switch1005,Ethernet16,40000,1696,Access
arc-switch1004,Ethernet64,arc-switch1005,Ethernet17,10000,1697,Access
arc-switch1004,Ethernet68,arc-switch1005,Ethernet18,10000,1698,Access
arc-switch1004,Ethernet72,arc-switch1005,Ethernet19,10000,1699,Access
arc-switch1004,Ethernet76,arc-switch1005,Ethernet20,10000,1700,Access
